freq;unit;na_item;geo\TIME_PERIOD,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
A;CP_MEUR;P6;AL,2226.7 d,2186.4 ,2517.2 ,2710.2 ,2773.9 ,2783.3 ,2812.4 ,2798.8 ,3106.4 ,3649.2 ,4050.1 p,4305.7 e
A;CP_MEUR;P6;AT,156424.9 ,130217.3 ,151683.0 ,167310.3 ,171988.8 ,173101.8 ,177855.3 ,182769.3 ,187409.4 ,199642.6 ,214611.7 ,220954.9 
A;CP_MEUR;P6;BA,3503.1 ,3171.0 ,3851.2 ,4296.6 ,4337.4 ,4620.0 ,4754.5 ,5194.7 ,5557.4 ,6550.2 ,7202.7 ,7214.6 
A;CP_MEUR;P6;BE,284492.0 ,238491.1 ,275442.0 ,303396.1 ,310501.8 ,311649.5 ,321600.7 ,324215.7 ,341615.1 ,370203.4 ,382086.8 ,389709.0 
A;CP_MEUR;P6;BG,19546.2 ,15797.3 ,19183.7 ,24390.8 ,25503.6 ,27156.7 ,27795.2 ,29228.3 ,31151.6 ,35206.5 ,36932.0 ,39310.6 
A;CP_MEUR;P6;CH,244628.3 ,231776.5 ,293614.6 ,342809.0 ,362942.6 ,383056.8 ,353468.9 ,394828.4 ,412909.9 ,406093.9 ,412326.9 ,431304.5 
A;CP_MEUR;P6;CY,9520.3 ,9099.1 ,9778.7 ,10593.7 ,10753.1 ,11041.8 ,11508.6 ,12537.0 ,13352.6 ,14787.7 ,16123.5 ,16018.6 p
A;CP_MEUR;P6;CZ,102022.2 ,87276.9 ,103506.1 ,116999.3 ,122991.2 ,121283.9 ,129341.3 ,136594.0 ,140366.4 ,153417.7 ,162328.3 ,166594.5 
A;CP_MEUR;P6;DE,1115342.0 ,932310.0 ,1091549.0 ,1213641.0 ,1271274.0 ,1276878.0 ,1335472.0 ,1419906.0 ,1444277.0 ,1538790.0 ,1590017.0 ,1617360.0 
A;CP_MEUR;P6;DK,130896.0 ,108992.3 ,122854.3 ,133409.3 ,139077.2 ,141865.6 ,145138.2 ,151301.4 ,151254.1 ,162372.6 ,170210.9 ,182398.1 
A;CP_MEUR;P6;EA,3764115.9 ,3230200.4 ,3695892.9 ,4084030.1 ,4260738.4 ,4319549.1 ,4509985.4 ,4852124.2 ,4932338.3 ,5305528.2 ,5576197.3 ,5755640.9 
A;CP_MEUR;P6;EA19,3856575.0 ,3260719.2 ,3734434.7 ,4118610.7 ,4300451.6 ,4360879.0 ,4536422.8 ,4852124.2 ,4932338.3 ,5305528.2 ,5576197.3 ,5755640.9 
A;CP_MEUR;P6;EE,11033.1 ,8601.3 ,11063.1 ,14443.1 ,15445.6 ,15992.5 ,16412.6 ,15976.0 ,16747.5 ,18045.8 ,19224.7 ,20496.4 
A;CP_MEUR;P6;EL,56532.8 ,45089.2 ,48854.8 b,51822.8 ,54145.5 ,54338.0 ,57576.2 ,56662.3 ,54594.8 ,61976.5 ,70014.8 p,73516.2 p
A;CP_MEUR;P6;ES,284308.0 ,246604.0 ,278386.0 ,314182.0 ,324335.0 ,336333.0 ,345593.0 ,362356.0 ,377370.0 ,408390.0 ,423256.0 p,434336.0 p
A;CP_MEUR;P6;EU27_2020,4563259.5 ,3844789.4 ,4429699.2 ,4895543.3 ,5106604.4 ,5182080.1 ,5395481.0 ,5765614.7 ,5869631.8 ,6332235.4 ,6661423.1 ,6900884.6 
A;CP_MEUR;P6;EU28,5103068.4 ,4303575.6 ,4958589.2 ,5483055.4 ,5739649.2 ,5808260.5 ,6047150.8 ,6486663.4 ,6556955.5 ,7042728.6 ,7409239.9 ,7687905.1 
A;CP_MEUR;P6;FI,87225.0 ,65576.0 ,72274.0 ,77022.0 ,78019.0 ,77678.0 ,75479.0 ,74845.0 ,75719.0 ,84975.0 ,90002.0 ,96652.0 
A;CP_MEUR;P6;FR,560245.0 ,480921.0 ,534504.0 ,585016.0 ,609994.0 ,621707.0 ,637764.0 ,672558.0 ,675769.0 ,710965.0 ,748790.0 p,770689.0 p
A;CP_MEUR;P6;HR,17472.0 ,14719.7 ,16319.2 ,17410.6 ,17372.4 ,17667.9 ,18788.5 ,20690.4 ,22201.9 ,24559.9 ,26079.6 ,28182.6 p
A;CP_MEUR;P6;HU,85788.9 ,70220.3 ,80922.1 ,87930.1 ,86092.1 ,87323.8 ,92580.7 ,98722.0 ,100450.4 ,109139.0 ,114035.9 ,120045.6 p
A;CP_MEUR;P6;IE,157941.9 ,158596.1 ,172796.6 ,177303.1 ,183012.7 ,186244.3 ,214349.7 ,320564.9 ,328235.4 ,359654.8 ,399897.4 ,448866.0 
A;CP_MEUR;P6;IS,4448.4 ,4585.5 ,5371.2 ,5962.9 ,6304.2 ,6453.4 ,6898.6 ,8122.9 ,8882.5 ,10007.4 ,10356.2 ,9804.0 
A;CP_MEUR;P6;IT,439931.5 ,353292.1 ,404013.0 ,443061.3 ,460980.7 ,461783.0 ,473718.7 ,491905.0 ,497338.5 ,533719.8 ,555571.8 ,563839.4 
A;CP_MEUR;P6;LT,18819.2 ,13929.8 ,17925.5 ,22824.3 ,26135.6 ,27565.1 ,26437.5 ,25685.5 ,26284.6 ,31113.3 ,34229.9 ,37794.2 
A;CP_MEUR;P6;LU,71343.1 ,60667.2 ,70119.6 ,76828.6 ,82244.5 ,88641.5 ,105930.4 ,115167.8 ,116886.8 ,123639.9 ,127047.7 ,132592.1 
A;CP_MEUR;P6;LV,9630.5 ,7987.8 ,9553.2 ,11756.3 ,13577.5 ,13764.8 ,14443.5 ,14805.2 ,15117.6 ,16615.8 ,17898.2 ,18317.1 
A;CP_MEUR;P6;ME,1226.4 ,1027.8 ,1157.7 ,1382.6 ,1389.4 ,1390.1 ,1388.1 ,1539.2 ,1605.4 ,1765.0 ,1999.3 ,2163.4 
A;CP_MEUR;P6;MK,2927.2 ,2219.8 ,2828.4 ,3555.1 ,3441.6 ,3536.6 ,4080.9 ,4421.7 ,4892.3 ,5535.7 ,6486.7 ,6982.8 p
A;CP_MEUR;P6;MT,9215.6 ,9203.1 ,10288.2 ,11120.0 ,12012.9 ,12391.0 ,13110.2 ,15456.7 ,15916.5 ,17546.7 ,17833.9 ,19258.1 
A;CP_MEUR;P6;NL,451703.0 ,388883.0 ,446176.0 ,491041.0 ,519130.0 ,527581.0 ,541129.0 ,570353.0 ,563377.0 ,615553.0 ,655439.0 ,675153.0 p
A;CP_MEUR;P6;NO,145565.9 ,109172.0 ,128726.8 ,147900.9 ,161315.4 ,154205.1 ,146605.7 ,131411.2 ,118248.7 ,128370.4 ,141424.4 ,133131.0 
A;CP_MEUR;P6;PL,138417.8 ,117756.0 ,144438.9 ,161038.7 ,171672.3 ,180473.1 ,193113.3 ,211321.0 ,221766.8 ,253163.0 ,275015.4 ,295630.4 
A;CP_MEUR;P6;PT,55989.5 ,47877.7 ,54007.7 ,60673.7 ,63578.7 ,67526.0 ,69595.2 ,72990.7 ,74989.1 ,83717.0 ,89143.7 ,92797.6 p
A;CP_MEUR;P6;RO,38341.3 ,32585.2 ,40630.8 ,48854.0 ,49808.9 ,57525.1 ,62434.4 ,66278.2 ,71046.1 ,78910.7 ,85605.9 ,90119.5 p
A;CP_MEUR;P6;RS,10157.8 ,8559.4 ,10175.3 ,11693.1 ,12072.3 ,14516.6 ,14923.8 ,16146.5 ,17844.3 ,19802.7 ,21632.5 ,23467.8 
A;CP_MEUR;P6;SE,174200.2 ,136722.5 ,167409.5 ,186899.7 ,193635.1 ,187905.0 ,189866.6 ,199355.3 ,199056.1 ,209937.8 ,215017.9 ,222962.4 
A;CP_MEUR;P6;SI,25149.8 ,20761.1 ,23372.8 ,26032.6 ,26425.6 ,27055.1 ,28659.2 ,29974.3 ,31383.2 ,35752.4 ,38889.5 ,40525.5 
A;CP_MEUR;P6;SK,52976.3 ,43608.1 ,52647.4 ,60542.9 ,66896.6 ,69607.6 ,69788.1 ,73395.8 ,75955.1 ,80439.4 ,86119.7 ,86766.0 
A;CP_MEUR;P6;TR,123957.5 ,108728.8 ,123955.1 ,138183.3 ,166527.9 ,171244.6 ,178203.4 ,190618.4 ,181348.4 ,198029.0 ,205472.8 ,222481.2 
A;CP_MEUR;P6;UK,539808.9 ,458786.2 ,528890.0 ,587512.1 ,633044.8 ,626180.4 ,651669.7 ,721048.7 ,687323.7 ,710493.1 ,747816.8 ,787020.5 
A;CP_MEUR;P6;XK,608.9 ,694.9 ,877.9 ,1137.7 ,1176.5 ,1168.1 ,1252.8 ,1273.9 ,1438.5 ,1709.3 ,1777.8 ,2069.5 
A;CP_MEUR;P7;AL,4589.3 d,4318.5 ,4369.1 ,4817.4 ,4560.2 ,4519.8 ,4704.7 ,4571.0 ,4913.1 ,5389.3 ,5802.9 p,6185.9 e
A;CP_MEUR;P7;AT,143428.7 ,120560.3 ,141313.2 ,158643.6 ,163081.9 ,163979.9 ,166962.7 ,169856.4 ,173710.5 ,187959.7 ,202006.2 ,207550.9 
A;CP_MEUR;P7;BA,7739.3 ,6179.6 ,6649.5 ,7483.9 ,7480.6 ,7419.3 ,7912.2 ,7861.8 ,8091.4 ,9151.2 ,9764.3 ,9943.6 
A;CP_MEUR;P7;BE,282125.5 ,230654.0 ,269259.7 ,303768.3 ,310258.7 ,308514.9 ,318300.9 ,318306.8 ,336479.0 ,365579.4 ,383301.0 ,386775.0 
A;CP_MEUR;P7;BG,26896.2 ,18886.1 ,20273.0 ,24235.5 ,26842.8 ,27343.5 ,28215.0 ,28791.5 ,28743.6 ,32938.6 ,35501.7 ,37344.4 
A;CP_MEUR;P7;CH,203397.2 ,201534.1 ,243855.9 ,297529.5 ,305099.6 ,319350.8 ,290714.7 ,320975.9 ,339856.5 ,338143.9 ,334264.2 ,350916.2 
A;CP_MEUR;P7;CY,11946.4 ,10097.6 ,11397.8 ,11351.5 ,11125.1 ,10757.4 ,11345.1 ,12069.1 ,13031.6 ,14864.6 ,15792.0 ,16256.4 p
A;CP_MEUR;P7;CZ,98520.4 ,81452.6 ,98678.3 ,110753.2 ,115246.3 ,112203.6 ,119345.5 ,126519.0 ,126831.6 ,138815.7 ,149800.0 ,153100.8 
A;CP_MEUR;P7;DE,960679.0 ,809752.0 ,956602.0 ,1081437.0 ,1103805.0 ,1114987.0 ,1141722.0 ,1190060.0 ,1213031.0 ,1310709.0 ,1383641.0 ,1417429.0 
A;CP_MEUR;P7;DK,122383.1 ,98591.4 ,105964.3 ,117558.6 ,123751.6 ,124769.1 ,126635.3 ,132768.6 ,132333.5 ,141219.0 ,152436.1 ,159410.9 
A;CP_MEUR;P7;EA,3639955.6 ,3072154.4 ,3547966.7 ,3921625.1 ,3971181.0 ,3969860.7 ,4119106.0 ,4382758.1 ,4456155.8 ,4820208.9 ,5108094.7 ,5312188.2 
A;CP_MEUR;P7;EA19,3741133.4 ,3102820.7 ,3586498.0 ,3958213.0 ,4011870.6 ,4011677.9 ,4144878.0 ,4382758.1 ,4456155.8 ,4820208.9 ,5108094.7 ,5312188.2 
A;CP_MEUR;P7;EE,11682.0 ,7899.8 ,10116.7 ,13473.3 ,15148.9 ,15485.0 ,15713.0 ,15164.4 ,15963.2 ,17101.5 ,18555.2 ,19368.6 
A;CP_MEUR;P7;EL,87039.5 ,68318.8 ,65890.6 b,63725.3 ,62766.0 ,58767.0 ,60332.4 ,58467.2 ,57115.0 ,64649.1 ,73827.4 p,76556.1 p
A;CP_MEUR;P7;ES,336850.0 ,255923.0 ,289380.0 ,311238.0 ,303041.0 ,296245.0 ,313601.0 ,329593.0 ,332955.0 ,366489.0 ,390484.0 p,396875.0 p
A;CP_MEUR;P7;EU27_2020,4465942.7 ,3666655.4 ,4253691.0 ,4703817.8 ,4779698.0 ,4777560.0 ,4950183.0 ,5230246.6 ,5319378.0 ,5774791.5 ,6137255.2 ,6381273.1 
A;CP_MEUR;P7;EU28,5049314.1 ,4153357.1 ,4818861.7 ,5309577.8 ,5438875.2 ,5433184.9 ,5637744.4 ,5990246.0 ,6050769.8 ,6519378.4 ,6913880.3 ,7203043.1 
A;CP_MEUR;P7;FI,80201.0 ,61871.0 ,69707.0 ,78564.0 ,81143.0 ,79841.0 ,77858.0 ,76047.0 ,78498.0 ,84871.0 ,92508.0 ,95892.0 
A;CP_MEUR;P7;FR,583323.0 ,496245.0 ,560267.0 ,625111.0 ,637065.0 ,643611.0 ,662388.0 ,685011.0 ,689287.0 ,735421.0 ,773362.0 p,794444.0 p
A;CP_MEUR;P7;HR,22384.7 ,17249.8 ,17080.5 ,18182.3 ,18085.3 ,18554.9 ,18955.3 ,20595.0 ,21676.4 ,24259.9 ,26518.9 ,28317.6 p
A;CP_MEUR;P7;HU,85403.5 ,66415.5 ,75679.2 ,81717.8 ,79336.1 ,80190.1 ,85859.8 ,89759.1 ,90367.5 ,100478.8 ,108051.0 ,115490.4 p
A;CP_MEUR;P7;IE,141784.7 ,135675.6 ,144924.7 ,145142.7 ,152398.6 ,152455.9 ,179164.2 ,244886.1 ,285882.0 ,294028.0 ,307110.0 ,405075.5 
A;CP_MEUR;P7;IS,4684.7 ,3754.5 ,4350.7 ,5124.1 ,5643.4 ,5526.9 ,6088.8 ,7004.3 ,7718.3 ,9108.1 ,9701.0 ,8739.3 
A;CP_MEUR;P7;IT,452498.0 ,363078.0 ,433952.0 ,466153.7 ,443051.6 ,423094.6 ,426596.5 ,442016.1 ,441578.0 ,483996.1 ,513236.1 ,509226.6 
A;CP_MEUR;P7;LT,22609.8 ,14403.2 ,18486.9 ,23665.2 ,25931.8 ,27056.9 ,25772.0 ,26057.8 ,26004.3 ,30133.8 ,33387.7 ,35252.1 
A;CP_MEUR;P7;LU,59652.1 ,48773.2 ,56907.2 ,62787.3 ,68558.0 ,73754.5 ,89782.3 ,97449.2 ,97458.9 ,103662.1 ,105419.8 ,109733.3 
A;CP_MEUR;P7;LV,12736.5 ,8363.2 ,9927.8 ,12922.6 ,14757.8 ,14760.3 ,15138.5 ,15228.7 ,15034.1 ,16790.4 ,18128.7 ,18572.3 
