"","","","","","","","","","","",""
"","Exports, FOB to Partner Countries","","","","","","","","","",""
"","","","","","","","","","","",""
"","World","","","","","","","","","",""
"","US Dollars, Millions","","","","","","","","","",""
"","","","","","","","","","","",""
"","","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","World","15,199,786.85","18,165,168.75","18,316,465.09","18,697,076.57","18,793,110.62","16,369,887.55","15,822,610.34","17,494,446.31","19,275,719.33","18,799,677.36"
"","Advanced Economies","9,741,050.86","11,437,402.57","11,340,111.85","11,494,196.76","11,611,659.00","10,221,991.09","9,982,575.40","10,857,716.91","11,937,418.69","11,575,173.62"
"","Euro Area","4,006,423.71","4,649,521.49","4,397,477.28","4,445,002.67","4,516,915.77","3,862,040.31","3,822,478.89","4,227,239.60","4,724,200.59","4,552,315.84"
"","Austria","150,420.87","177,044.49","167,362.65","170,892.92","170,941.05","148,897.41","151,071.03","167,303.50","183,952.91","177,664.37"
"","Belgium","370,221.27","439,531.91","413,634.61","422,675.71","430,980.75","360,748.60","355,880.36","382,598.30","423,877.22","403,950.53"
"","Belgium-Luxembourg","20.68","34.63","37.48","26.45","25.59","2,127.90","","","",""
"","Cyprus","13,947.38","14,987.11","14,577.78","13,807.55","11,716.22","9,100.02","8,943.52","11,250.92","13,515.19","11,839.58"
"","Estonia, Rep. of","14,004.60","20,630.45","23,026.88","22,809.45","22,166.30","17,259.11","17,611.91","19,423.10","21,197.21","20,448.39"
"","Finland","73,720.63","86,612.95","82,460.99","82,359.48","80,918.79","62,870.58","61,929.88","70,056.17","78,080.24","73,495.56"
"","France","628,925.02","733,118.21","683,225.32","689,651.19","681,895.60","583,580.78","581,446.76","634,782.39","690,198.43","666,320.76"
"","Germany","1,019,502.44","1,186,240.00","1,132,424.78","1,148,556.97","1,185,667.23","1,040,331.63","1,038,603.93","1,141,569.00","1,263,459.48","1,221,619.02"
"","Greece","60,861.93","64,129.51","60,655.38","59,805.89","61,133.58","48,230.74","49,261.13","55,811.76","66,295.13","66,572.73"
"","Ireland","63,770.26","69,215.28","67,368.20","73,090.63","76,813.69","71,538.24","71,088.17","77,179.51","90,472.05","82,005.85"
"","Italy","496,410.07","558,628.60","500,628.73","500,885.74","502,682.02","423,611.99","421,637.63","468,589.70","526,551.55","497,600.07"
"","Latvia","17,837.12","25,821.10","29,100.28","29,419.42","32,056.12","22,751.94","20,159.31","22,043.14","23,879.71","23,418.49"
"","Lithuania","18,457.65","28,320.98","28,566.66","31,498.80","30,447.81","25,217.47","25,530.40","29,999.69","34,603.39","32,989.48"
