freq;na_item;unit;geo\TIME_PERIOD,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
A;P7;PC_GDP;AL,52.1 d,49.9 ,48.6 ,52.0 ,47.6 ,47.0 ,47.2 ,44.5 ,45.8 ,46.6 ,45.3 p,45.3 e
A;P7;PC_GDP;AT,48.8 ,41.9 ,47.8 ,51.2 ,51.2 ,50.6 ,50.1 ,49.3 ,48.6 ,50.9 ,52.4 ,52.2 
A;P7;PC_GDP;BA,59.3 ,48.7 ,51.3 ,55.8 ,55.8 ,54.2 ,56.6 ,53.8 ,52.9 ,57.0 ,57.1 ,55.2 
A;P7;PC_GDP;BE,80.2 ,66.6 ,74.1 ,80.8 ,80.3 ,78.5 ,79.0 ,76.4 ,78.2 ,82.2 ,83.3 ,81.2 
A;P7;PC_GDP;BG,72.3 ,50.5 ,53.3 ,58.7 ,63.8 ,65.3 ,65.8 ,63.0 ,59.1 ,62.9 ,63.3 ,61.0 
A;P7;PC_GDP;CH,52.3 ,50.1 ,53.5 ,57.2 ,56.7 ,59.5 ,52.5 ,50.7 ,54.1 ,54.2 ,53.7 ,53.7 
A;P7;PC_GDP;CY,62.8 ,54.1 ,58.7 ,57.3 ,57.2 ,59.8 ,65.1 ,67.5 ,68.8 ,73.9 ,73.7 ,72.9 p
A;P7;PC_GDP;CZ,60.8 ,54.5 ,62.5 ,67.0 ,70.9 ,70.4 ,75.6 ,74.6 ,71.5 ,71.5 ,71.0 ,68.4 
A;P7;PC_GDP;DE,37.7 ,33.1 ,37.3 ,40.1 ,40.2 ,39.7 ,39.0 ,39.3 ,38.7 ,40.2 ,41.2 ,41.1 
A;P7;PC_GDP;DK,50.7 ,42.6 ,43.6 ,47.4 ,48.6 ,48.2 ,47.7 ,48.6 ,46.7 ,47.9 ,50.4 ,51.0 
A;P7;PC_GDP;EA,38.4 ,33.3 ,37.5 ,40.2 ,40.6 ,40.2 ,40.7 ,41.7 ,41.2 ,43.0 ,44.1 ,44.5 
A;P7;PC_GDP;EA19,38.9 ,33.5 ,37.6 ,40.4 ,40.8 ,40.4 ,40.8 ,41.7 ,41.2 ,43.0 ,44.1 ,44.5 
A;P7;PC_GDP;EE,70.2 ,55.6 ,68.1 ,80.1 ,83.9 ,81.4 ,77.9 ,73.0 ,72.8 ,71.7 ,71.5 ,68.9 
A;P7;PC_GDP;EL,36.0 ,28.8 ,29.4 b,31.3 ,33.3 ,32.7 ,34.0 ,33.2 ,32.8 ,36.5 ,41.1 p,41.7 p
A;P7;PC_GDP;ES,30.4 ,23.9 ,27.0 ,29.3 ,29.4 ,29.0 ,30.4 ,30.6 ,29.9 ,31.5 ,32.4 p,31.9 p
A;P7;PC_GDP;EU27_2020,40.3 ,34.6 ,38.7 ,41.5 ,42.0 ,41.5 ,42.0 ,42.8 ,42.4 ,44.2 ,45.4 ,45.7 
A;P7;PC_GDP;EU28,38.6 ,33.7 ,37.5 ,40.1 ,40.3 ,39.9 ,40.0 ,40.3 ,40.4 ,42.3 ,43.4 ,43.7 
A;P7;PC_GDP;FI,41.3 ,34.0 ,37.1 ,39.7 ,40.4 ,39.1 ,37.6 ,36.0 ,36.1 ,37.6 ,39.6 ,39.9 
A;P7;PC_GDP;FR,29.3 ,25.6 ,28.1 ,30.4 ,30.5 ,30.4 ,30.8 ,31.2 ,30.9 ,32.0 ,32.8 p,32.8 p
A;P7;PC_GDP;HR,46.7 ,38.3 ,37.8 ,40.5 ,41.1 ,42.4 ,43.7 ,46.2 ,46.5 ,49.3 ,51.0 ,52.2 p
A;P7;PC_GDP;HU,78.9 ,70.4 ,76.0 ,80.1 ,79.3 ,78.6 ,81.0 ,79.6 ,77.8 ,79.2 ,79.5 ,79.1 p
A;P7;PC_GDP;IE,75.6 ,79.9 ,86.4 ,84.9 ,87.0 ,84.9 ,91.8 ,93.2 ,105.6 ,97.9 ,93.9 ,113.8 
A;P7;PC_GDP;IS,42.8 ,39.8 ,42.1 ,47.1 ,49.3 ,45.8 ,45.5 ,44.7 ,41.4 ,42.0 ,44.5 ,40.4 
A;P7;PC_GDP;IT,27.6 ,23.0 ,26.9 ,28.3 ,27.3 ,26.2 ,26.2 ,26.7 ,26.0 ,27.9 ,29.0 ,28.5 
A;P7;PC_GDP;LT,69.2 ,53.5 ,65.9 ,75.6 ,77.6 ,77.2 ,70.5 ,69.8 ,66.9 ,71.3 ,73.4 ,72.2 
A;P7;PC_GDP;LU,156.4 ,131.9 ,141.6 ,145.5 ,155.4 ,158.6 ,180.2 ,187.2 ,177.6 ,182.5 ,175.5 ,172.8 
A;P7;PC_GDP;LV,52.1 ,44.4 ,55.5 ,63.6 ,66.4 ,64.3 ,64.1 ,62.0 ,59.3 ,62.3 ,62.2 ,61.0 
A;P7;PC_GDP;ME,92.8 ,65.1 ,62.7 ,64.3 ,68.1 ,61.4 ,60.0 ,60.6 ,63.1 ,64.5 ,66.7 ,64.8 
A;P7;PC_GDP;MK,68.3 ,54.4 ,58.1 ,66.1 ,66.8 ,61.5 ,64.9 ,65.0 ,65.5 ,69.0 ,72.8 ,76.5 p
A;P7;PC_GDP;MT,150.3 ,147.9 ,150.9 ,159.1 ,159.6 ,148.4 ,137.8 ,144.9 ,139.9 ,133.9 ,127.2 ,129.9 
A;P7;PC_GDP;NL,61.3 ,54.7 ,61.7 ,67.0 ,69.8 ,69.7 ,69.5 ,75.2 ,69.3 ,72.6 ,74.1 ,72.9 p
A;P7;PC_GDP;NO,29.0 ,27.8 ,28.5 ,28.4 ,27.5 ,28.3 ,29.7 ,32.1 ,33.5 ,32.8 ,32.6 ,35.2 
A;P7;PC_GDP;PL,43.1 ,38.1 ,42.1 ,44.6 ,45.0 ,44.6 ,46.3 ,46.3 ,48.2 ,50.4 ,52.2 ,50.8 
A;P7;PC_GDP;PT,40.8 ,34.2 ,37.7 ,38.6 ,38.3 ,38.5 ,40.1 ,39.9 ,39.1 ,41.7 ,43.0 ,43.3 p
A;P7;PC_GDP;RO,39.0 ,32.4 ,39.0 ,42.9 ,42.8 ,40.9 ,41.8 ,42.2 ,42.8 ,44.5 ,45.3 ,44.2 p
A;P7;PC_GDP;RS,50.2 ,39.7 ,44.5 ,45.8 ,49.6 ,48.1 ,50.2 ,52.2 ,53.3 ,57.1 ,59.1 ,61.0 
A;P7;PC_GDP;SE,43.5 ,38.1 ,39.6 ,40.5 ,40.3 ,38.3 ,39.7 ,40.0 ,39.6 ,41.2 ,43.4 ,43.5 
A;P7;PC_GDP;SI,68.4 ,55.9 ,63.2 ,69.0 ,69.5 ,69.5 ,69.4 ,69.1 ,69.1 ,74.2 ,76.3 ,75.3 
A;P7;PC_GDP;SK,81.9 ,68.2 ,77.5 ,84.2 ,85.4 ,87.9 ,86.7 ,88.9 ,90.8 ,92.9 ,94.3 ,92.0 
A;P7;PC_GDP;TR,27.0 ,23.4 ,25.5 ,30.3 ,28.5 ,28.7 ,28.6 ,26.6 ,25.2 ,29.7 ,31.3 ,29.9 
A;P7;PC_GDP;UK,29.2 ,28.0 ,30.2 ,31.7 ,31.2 ,31.3 ,29.8 ,28.7 ,30.0 ,31.6 ,32.1 ,32.6 
A;P7;PC_GDP;XK,54.3 ,52.0 ,55.5 ,58.0 ,53.9 ,49.7 ,51.2 ,50.4 ,50.9 ,52.5 ,55.6 ,56.1 
