"","","","","","","","","","","",""
"","Imports, CIF from Partner Countries","","","","","","","","","",""
"","","","","","","","","","","",""
"","World","","","","","","","","","",""
"","US Dollars, Millions","","","","","","","","","",""
"","","","","","","","","","","",""
"","","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","World","15,469,309.98","18,327,670.01","18,548,552.89","18,831,284.82","18,934,264.69","16,579,372.77","16,144,379.96","17,729,793.19","19,545,106.57","19,122,489.97"
"","Advanced Economies","8,927,123.91","10,362,770.69","10,307,676.75","10,477,706.73","10,556,814.54","9,391,500.51","9,259,815.83","10,078,800.31","10,996,761.22","10,714,525.35"
"","Euro Area","3,937,371.83","4,576,920.90","4,437,766.26","4,552,451.38","4,650,868.68","4,089,320.26","4,083,172.04","4,451,768.14","4,877,034.50","4,751,026.70"
"","Austria","150,480.33","177,574.48","168,546.24","177,154.38","182,007.63","158,571.09","157,521.35","174,133.63","193,152.29","188,588.87"
"","Belgium","362,963.18","428,078.02","407,527.55","422,174.39","427,321.57","364,493.63","362,375.12","387,259.95","426,432.87","408,941.41"
"","Belgium-Luxembourg","25.95","31.87","37.71","48.04","50.13","","","","",""
"","Cyprus","3,869.17","5,556.29","6,187.93","5,800.04","4,530.49","4,419.58","3,513.17","3,854.73","4,537.04","4,228.45"
"","Estonia, Rep. of","10,642.36","16,153.82","14,117.10","14,586.73","16,864.28","12,728.59","13,803.63","14,351.10","15,730.96","15,348.36"
"","Finland","71,734.70","82,852.40","76,935.68","78,242.83","78,480.51","66,693.63","64,380.93","73,614.37","80,584.18","77,702.21"
"","France","528,679.45","601,136.77","585,092.92","597,484.96","608,657.01","531,587.42","525,687.27","568,701.61","607,962.19","605,514.90"
"","Germany","1,247,141.46","1,439,202.48","1,391,857.60","1,429,333.33","1,474,534.05","1,311,931.91","1,303,504.65","1,404,763.13","1,520,018.34","1,460,516.61"
"","Greece","25,485.14","29,316.37","30,873.88","33,078.09","32,648.08","26,165.05","25,580.02","29,672.51","35,908.92","33,560.54"
"","Ireland","146,911.50","159,756.91","148,115.90","142,567.09","146,775.13","157,888.46","162,873.40","173,383.08","200,863.46","210,194.00"
"","Italy","439,734.87","508,031.57","503,232.03","511,526.42","523,352.16","460,399.66","463,150.00","509,097.05","555,627.18","545,185.65"
"","Latvia","9,817.72","13,247.87","12,689.79","13,122.98","13,800.26","11,485.54","11,805.51","12,862.10","15,889.79","14,774.24"
"","Lithuania","17,213.30","23,438.65","23,979.68","25,141.00","24,892.61","21,363.88","21,833.44","25,955.28","30,464.45","30,127.63"
"","Luxembourg","19,604.32","21,986.66","20,154.81","20,856.65","21,996.48","19,863.77","18,921.53","19,274.34","20,854.53","19,508.23"
"","Malta","6,776.25","7,053.94","6,970.24","6,904.91","6,394.06","5,662.69","6,260.04","5,206.30","5,237.13","4,939.40"
"","Netherlands, The","519,857.26","617,645.85","599,097.37","610,755.04","610,219.31","510,832.45","507,505.37","570,852.12","640,199.94","616,938.60"
"","Portugal","47,801.08","57,882.63","58,686.59","62,146.93","63,964.99","55,568.92","55,212.54","60,599.48","66,467.16","65,653.22"
"","Slovak Rep.","61,430.27","74,916.87","76,947.32","80,432.25","81,374.88","71,746.81","75,108.45","81,891.88","94,177.75","93,087.81"
"","Slovenia, Rep. of","24,523.22","29,563.16","27,997.33","30,233.68","32,896.28","28,646.01","29,973.61","33,878.26","38,185.43","37,958.96"
"","Spain","242,680.29","283,494.31","278,718.59","290,861.64","300,108.76","269,271.17","274,162.01","302,417.21","324,740.88","318,257.61"
"","Australia","219,670.32","277,478.48","267,775.11","261,013.32","253,687.14","201,422.73","202,666.11","250,415.49","272,068.50","287,688.15"
"","Canada","387,777.01","452,444.08","457,976.23","463,678.12","475,663.33","408,022.91","384,961.69","420,714.27","452,624.51","457,381.69"
"","China, P.R.: Hong Kong","71,573.64","83,225.49","81,263.62","78,362.64","76,289.76","72,326.05","87,467.57","83,786.50","85,203.06","84,686.93"
"","China, P.R.: Macao","3,079.18","3,199.50","3,091.15","3,680.85","3,273.52","3,707.74","1,478.26","3,677.60","3,108.27","3,588.28"
"","Czech Rep.","128,442.99","157,096.04","152,740.37","157,731.42","168,770.45","152,479.46","158,912.97","176,825.47","194,438.48","190,777.81"
"","Denmark","92,785.86","108,464.14","102,260.12","104,932.85","104,937.25","90,608.40","89,532.36","96,072.12","107,386.32","107,055.19"
"","Holy See","1.92","64.80","8.62","5.13","6.90","17.56","4.38","4.46","4.59","6.48"
"","Iceland","4,721.51","5,419.65","5,058.36","5,158.24","5,969.32","5,130.78","4,679.43","5,305.85","6,067.05","5,337.59"
"","Israel","57,828.20","66,973.13","65,451.91","68,160.91","70,191.94","64,977.32","60,810.44","64,562.18","66,139.10","63,924.78"
"","Japan","810,434.41","865,876.83","875,419.75","795,314.62","769,506.60","700,117.21","708,259.87","730,775.95","772,525.13","748,588.37"
"","Korea, Rep. of","469,157.12","548,134.07","562,865.30","580,971.18","593,347.87","547,853.64","525,769.11","603,316.43","644,304.06","603,418.86"
"","New Zealand","31,492.59","38,249.74","38,360.60","40,173.61","44,417.63","36,943.68","35,591.88","38,697.16","41,269.47","41,944.38"
"","Norway","135,611.26","167,118.53","164,426.85","153,034.78","142,853.11","109,769.13","94,020.57","107,269.81","124,474.95","107,790.69"
"","San Marino, Rep. of","142.91","130.06","96.50","92.10","118.17","101.84","156.70","136.59","159.80","152.69"
"","Singapore","219,338.13","253,582.73","263,070.69","254,033.01","258,512.53","228,198.92","210,205.00","234,999.57","271,112.47","254,828.32"
"","Sweden","155,567.69","184,052.05","175,157.50","172,206.63","170,693.92","145,368.68","141,765.70","156,748.62","169,831.36","161,943.36"
"","Switzerland","235,915.97","307,293.14","309,380.01","341,795.74","313,447.69","264,187.77","309,154.06","309,423.45","329,846.52","326,197.38"
